,A_Rev_W_reviews_word2vec_vec_15_cbow_mc_100.txt,A_Rev_W_reviews_word2vec_vec_15_sg_mc_100.txt,A_Rev_W_reviews_word2vec_vec_5_cbow_mc_100.txt,A_Rev_W_reviews_word2vec_vec_5_sg_mc_100.txt,B_Rev_G_reviews.txt_vectors_mc_100.ws_15.txt,B_Rev_G_reviews.txt_vectors_mc_100.ws_5.txt,C_Rev_DLreviews_output_res_150_it_50_mc_100_cbow.txt,C_Rev_DLreviews_output_res_150_it_50_mc_100_sg.txt,D_Rev_YL_dim150vecs_reviews_100.txt,EA_Rev_OL_Reviews_WN.txt,EA_Rev_OL_Reviews_WN_Unique.txt,E_Rev_OL_Reviews_DP_Unique.txt,E_Rev_OL_Reviews_DP_Unique_Useful.txt,E_Rev_OL_Reviews_WN_DP.txt,E_Rev_OL_Reviews_WN_DP_Unique.txt,E_Rev_OL_Reviews_WN_DP_Unique_Useful.txt,Eval_Dataset,FA_Rev_OL_reviewsUD_WN.txt,FA_Rev_OL_reviewsUD_WN_Unique.txt,F_Rev_OL_reviewsUD_DP_Unique.txt,F_Rev_OL_reviewsUD_DP_Unique_Useful.txt,F_Rev_OL_reviewsUD_WN_DP_Unique.txt,F_Rev_OL_reviewsUD_WN_DP_Unique_Useful.txt,G_Rev_OL_Reviews_WN_DP_Unique_Useful_L2.txt,G_Rev_OL_reviewsUD_WN_DP_Unique_Useful_L2.txt
92,0,0,0,0,0,0,0,0,0,43,35,6,5,4,4,6,capital-world,11,18,4,6,4,6,12,8
93,14,9,7,12,9,10,0,0,8,189,235,47,53,112,103,65,city-in-state,177,173,47,33,105,49,218,100
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,currency,0,0,0,0,0,0,0,0
95,82,86,84,83,73,86,1,7,171,61,38,14,10,26,43,25,family,30,26,23,26,25,38,75,102
96,126,148,132,134,49,57,1,2,98,19,14,6,6,39,45,34,gram1-adjective-to-adverb,47,39,9,10,33,41,211,260
97,50,46,56,65,36,30,0,1,141,8,5,9,8,44,13,12,gram2-opposite,9,4,5,4,13,27,77,61
98,631,522,723,679,432,331,1,14,1256,600,740,59,43,393,246,277,gram3-comparative,667,643,202,155,340,319,808,843
99,330,257,383,330,250,216,0,0,557,423,443,11,18,133,83,155,gram4-superlative,414,440,14,12,60,108,438,504
100,297,282,316,310,217,134,1,79,543,661,556,51,69,344,213,288,gram5-present-participle,570,531,38,33,208,288,638,687
101,33,37,34,36,29,24,0,0,41,4,3,6,5,10,10,12,gram6-nationality-adjective,2,2,4,4,10,10,36,28
102,467,439,490,465,270,225,0,19,736,974,1049,39,33,453,439,488,gram7-past-tense,902,1059,76,65,372,485,1183,1080
103,90,93,86,86,60,56,2,54,364,850,843,18,20,326,290,352,gram8-plural,727,729,29,43,291,442,754,689
104,258,212,271,260,179,180,4,21,649,587,575,37,37,298,163,291,gram9-plural-verbs,526,540,31,19,217,298,584,581
